TXN001;C01;18-02-2025;01:04:33 AM;16.9;Debit
TXN002;C01;18-02-2025;01:05:01 AM;3.1;Debit
TXN003;C01;18-02-2025;01:12:20 AM;16.9;Debit
TXN004;C01;18-02-2025;01:13:48 AM;16.9;Debit
TXN005;C01;18-02-2025;01:14:45 AM;3.1;Debit
TXN006;C01;18-02-2025;01:17:13 AM;3.1;Debit
TXN007;C01;18-02-2025;12:22:38 PM;33.8;Debit
TXN008;C01;19-02-2025;02:25:19 AM;6.499999999999972;Debit
TXN009;C01;19-02-2025;02:39:00 AM;240.0;Debit
TXN010;C01;19-02-2025;02:39:00 AM;220.0;Debit
TXN011;C01;19-02-2025;02:44:46 AM;200.0;Debit
TXN012;C01;19-02-2025;02:45:05 AM;180.0;Debit
TXN013;C01;19-02-2025;02:47:16 AM;160.0;Debit
TXN014;C01;19-02-2025;02:49:40 AM;140.0;Debit
TXN015;C01;19-02-2025;02:50:25 AM;120.0;Debit
TXN016;C03;20-02-2025;19:52:12 PM;2.1;Debit
TXN017;C02;21-02-2025;15:10:23 PM;9.2;Debit
